,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
109435,109435,Terra d'Oro 2016 Chenin Blanc-Viognier (Clarksburg),Terra d'Oro 2016 Chenin Blanc-Viognier (Clarksburg),Terra d'Oro,Chenin Blanc-Viognier,White,"This is a light and easy-sipping wine. Floral, apple and lightly herbaceous aromas lead to generous fruit flavors like Pippin apples and white peaches while a good balance of crispness and richness shapes the mouthfeel.",US,California,16,88
109538,109538,Athiná 2012 Assyrtico (Santorini),Athiná 2012 Assyrtico (Santorini),Athiná,Assyrtico,White,"This full-bodied Assyrtico offers aromas of pineapple, citrus and spice on the nose, while the palate brings layers of fruit, minerals and lemon. Delicious with a good acidity, imagine this white with grilled chicken or fish.",Greece,Santorini,19,90
109543,109543,Claudia Papayianni 2013 Alexandra Malagouzia (Chalkidiki),Claudia Papayianni 2013 Alexandra Malagouzia (Chalkidiki),Claudia Papayianni,Malagouzia,White,"This refined Malagouzia starts with a fleshy peach and melon nose, followed by pronounced flavors of peach, citrus and spice on the palate. Balanced and pretty, the fruit tones linger on the finish.",Greece,Chalkidiki,20,90
109577,109577,Silver Horse 2011 Tomori Syrah-Cabernet Sauvignon (Paso Robles),Silver Horse 2011 Tomori Syrah-Cabernet Sauvignon (Paso Robles),Silver Horse,Syrah-Cabernet Sauvignon,Red,"Give this blend extra credit for sheer power. It rocks the palate with intensely ripe, concentrated flavors of blackberries, cherries, currants, chocolate and oak. The flavors are so rich and fruity, but the wine finishes dry. Drink now.",US,California,38,87
109583,109583,Château de Beaupré 2010 Cuvée du Château Cabernet-Syrah (Coteaux d'Aix-en-Provence),Château de Beaupré 2010 Cuvée du Château Cabernet-Syrah (Coteaux d'Aix-en-Provence),Château de Beaupré,Cabernet-Syrah,Red,"Dry and firmly tannic, this is a powerful and complex wine that will age well. It has solid fruit, a good structure and some juicy acidity hinting at its potential. Drink from 2015.",France,Provence,17,87
109589,109589,Koblevo NV Royal Reserve Muscat Hamburg (Ukraine),Koblevo NV Royal Reserve Muscat Hamburg (Ukraine),Koblevo,Muscat Hamburg,Red,"This ruby-red sweet wine is nonvintage made and from Muscat Hamburg. It has aromas of cassis syrup and freshly ground dried herbs. In the mouth, there are flavors of sweet ripe cherry preserves, blackberry sauce and sweet pomegranate juice.",Ukraine,Ukraine,9,86
109621,109621,Prospect 772 2010 The Brat Grenache-Syrah (Calaveras County),Prospect 772 2010 The Brat Grenache-Syrah (Calaveras County),Prospect 772,Grenache-Syrah,Red,"Concentrated and bright, this blend of 63% Grenache and 37% Syrah has deep flavors of strawberry and licorice. Ready to age for several years, it has a mountain's worth of tannins, and yet it is incredibly light on its feet.",US,California,36,92
109640,109640,Királyudvar 2009 Pezsgo Henye Brut Tokaji (Tokaj),Királyudvar 2009 Pezsgo Henye Brut Tokaji (Tokaj),Királyudvar,Tokaji,White,"Hints of sweet pastry and rising bread entice on this refreshing, dry, yet honeyed sparkling wine made from Tokaj grape varieties. It's brisk on the palate, with a clean cut, but it has all of the waxy, floral qualities of a sweet Tokaj wine. Fantastic now, but it could be even more glorious with five more years in the cellar.",Hungary,Tokaj,30,91
109657,109657,Lyrarakis 2013 Plakoura Vineyard Oak Aged Mandilaria (Crete),Lyrarakis 2013 Plakoura Vineyard Oak Aged Mandilaria (Crete),Lyrarakis,Mandilaria,Red,"Mushroom, cedar and smoke on the nose leads this Mandilari from Crete. Often used as a blending grape, here it offers approachable aromas of jasmine, anise and cocoa with flavors of berry, plum and spice. The wine has good structure and balance, and can age for several years.",Greece,Crete,25,90
109673,109673,Domaine du Tariquet 2016 Chenin-Chardonnay Chenin Blanc-Chardonnay (Côtes de Gascogne),Domaine du Tariquet 2016 Chenin-Chardonnay Chenin Blanc-Chardonnay (Côtes de Gascogne),Domaine du Tariquet,Chenin Blanc-Chardonnay,White,"While Chardonnay may not be native to Southwest France, the Chenin Blanc is. So this blend of spicy and creamy wine has roots in its terroir. The combination of varieties gives minerality, a ripe green-fruit texture and great acidity. This fruity wine is ready to drink.",France,Southwest France,14,88
109683,109683,Hecht & Bannier 2015 Rolle (Côtes de Provence),Hecht & Bannier 2015 Rolle (Côtes de Provence),Hecht & Bannier,Rolle,White,"The Rolle grape (known as Vermentino in nearby Corsica) has the ability to produce rich wine, as it did here. The acidity is still there balanced with the ripe yellow fruits, generous texture and spicy southern warmth. This is a wine for food, ready to drink now.",France,Provence,20,88
109708,109708,Librandi 2011 Duca Sanfelice  (Cirò),Librandi 2011 Duca Sanfelice  (Cirò),Librandi,Gaglioppo,Red,"Aromas of perfumed berry, violet, leather, pipe tobacco and baking spice take shape in the glass. The smooth, structured palate delivers layers of ripe black cherry, juicy raspberry, clove, white pepper and mineral alongside firm, fine-grained tannins.",Italy,Southern Italy,20,91
109741,109741,Wohlmuth 2016 Ried Steinriegl Gelber Muskateller (Südsteiermark),Wohlmuth 2016 Ried Steinriegl Gelber Muskateller (Südsteiermark),Wohlmuth,Gelber Muskateller,White,"An aromatic touch of freshly cut green grass and nettle hovers above the tell-tale aromas of Muscat grapes: blossom and citrus. The palate comes in with exquisite lightness, freshness and transparency, carrying refreshing aromatics on a vein of lemon zestiness. The finish adds green apple notes and leaves you wanting more. It's delicate but aromatic.",Austria,Südsteiermark,36,92
109742,109742,Heinrich Hartl 2015 Rotgipfler (Thermenregion),Heinrich Hartl 2015 Rotgipfler (Thermenregion),Heinrich Hartl,Rotgipfler,White,"A touch of honeysuckle works its way through the peachy, lemony nose of this indigenous Austrian. The palate brings out peach and a perfumed, rose-scented phenolic edge. Although the texture is rounded, the palate is fresh and firm. Ripeness and exuberance are coralled into lively and very appetizing freshness.",Austria,Thermenregion,24,92
109754,109754,Boutari 2016 Moschofilero (Mantinia),Boutari 2016 Moschofilero (Mantinia),Boutari,Moschofilero,White,"Lemon, orange blossom and rose aromas start this exotic and refreshing wine. On the palate, bright flavors of citrus mingle with melon and pepper. Easygoing but distinctive.",Greece,Mantinia,17,92
109755,109755,Kir-Yianni 2012 Ramnista Single Vineyard Xinomavro (Naoussa),Kir-Yianni 2012 Ramnista Single Vineyard Xinomavro (Naoussa),Kir-Yianni,Xinomavro,Red,"Black cherry, currants and plums on the nose lead into a delicious balance of olive, plums and herbs on the palate. Dried currants, crushes stone and leather are also in the mix, with a chalky finish keeping the wine on track. Keep this one in the cellar or drink now with lamb or olive tapenade.",Greece,Naoussa,27,92
109785,109785,Aconga 2011 Cabernet Sauvignon-Malbec (Mendoza),Aconga 2011 Cabernet Sauvignon-Malbec (Mendoza),Aconga,Cabernet Sauvignon-Malbec,Red,"Red cherry and plum aromas are citric in style, while the palate is quite citrusy, too, with flavors of plum skin and pie cherry. This finishes tannic and grabby.",Argentina,Mendoza Province,9,82
109790,109790,Lagler 2012 1000 Eimerberg Smaragd Neuburger (Wachau),Lagler 2012 1000 Eimerberg Smaragd Neuburger (Wachau),Lagler,Neuburger,White,Slender citrus zestiness is the theme here: is it bergamot or lime? The wonderfully rich core of phenolics provides heft and pith with a touch of white pepper here and there and a mossy savouriness that provides welcome refreshment.,Austria,Wachau,36,92
109896,109896,Domaines Paul Mas NV Côté Mas Méthode Ancestrale Mauzac (Blanquette de Limoux),Domaines Paul Mas NV Côté Mas Méthode Ancestrale Mauzac (Blanquette de Limoux),Domaines Paul Mas,Mauzac,White,"At only 7.5% alcohol, this is remarkably light and easy to drink, with vibrant notes of fresh peach, honeysuckle, baked apple and sweet, ripe pear, all balanced by ample acidity and brisk carbonation. The sweet fruit flavors are coupled with a lingering toasty richness on the finish. Versatile and friendly, this is an ideal apéritif or after-dinner drink.",France,Languedoc-Roussillon,18,90
109943,109943,Le Buche 2007 Olivi Cantine Pugnitello (Toscana),Le Buche 2007 Olivi Cantine Pugnitello (Toscana),Le Buche,Pugnitello,Red,"Pugnitello is a little-known native variety that has recently started enjoying some time in the spotlight. This expression is tight, inky and intense with raw aromas of smoked beef, black olive and ripe fruit.",Italy,Tuscany,49,87
109944,109944,Marqués de Alella 2010 Pansa Blanca (Alella),Marqués de Alella 2010 Pansa Blanca (Alella),Marqués de Alella,Pansa Blanca,White,"Opens with orange peel aromas. This wine from the Pansa Blanca grape is balanced and easygoing, with sweet but friendly flavors of citrus, melon and mango. Mild and controlled from front to back. Drink well chilled.",Spain,Catalonia,12,87
110092,110092,Domaine de la Bégude 2013 Red (Bandol),Domaine de la Bégude 2013 Red (Bandol),Domaine de la Bégude,Provence red blend,Red,"This impressive wine has a perfumed character, almost smelling and tasting of the wild garrigue and forest that makes up much of the La Bégude estate. It also holds a well-wrought tannic side, dark and solid, packed with black currant and berry fruits. It will age for many years and should not be drunk before 2019.",France,Provence,36,94
110103,110103,Daou 2012 Mayote Syrah-Cabernet Sauvignon (Adelaida District),Daou 2012 Mayote Syrah-Cabernet Sauvignon (Adelaida District),Daou,Syrah-Cabernet Sauvignon,Red,"It's no surprise that the Daou brothers blend of 45% Syrah, 43% Cabernet Sauvignon and 12% Petit Verdot packs a rich blueberry, dark chocolate and espresso nose. Nor is the lush mouthfeel, the grippy, fine-grained tannins, or the the black cherry, stewed beef and black peppercorn flavor profile particularly shocking. It's just another massive, delicious and dark wine from their portfolio.",US,California,85,94
110289,110289,Quinta de Lemos 2010 Tinta Roriz (Dão),Quinta de Lemos 2010 Tinta Roriz (Dão),Quinta de Lemos,Tinta Roriz,Red,"This rich wine has 18 months in wood, giving it power and dark tannins. It is concentrated, structured while also elegant. The acidity, the black fruit and the firm texture suggest a wine that could age further and will be better from 2018.",Portugal,Dão,32,90
110291,110291,Recanati 2014 Reserve Marselan (Galilee),Recanati 2014 Reserve Marselan (Galilee),Recanati,Marselan,Red,"Inky garnet to the eye, this wine features aromas of cherry and strawberry with a strong dose of violet. Although it has strong flavors of lightly cooked woodland fruits (including notes of vanilla, brambles and soft citrus) it is bright and retains a grip on the palate from start to finish. Lasting tannins are ever present yet not overpowering. The finish is characterized by flavors of tangerine and baking spices.",Israel,Galilee,50,90
110300,110300,Turasan 2014 Boğazkere (Cappadocia),Turasan 2014 Boğazkere (Cappadocia),Turasan,Boğazkere,Red,"Dark ruby in the glass, this wine has a nose of blackberry, cassis and smoke. It is round in the mouth with bold acidity that does not overtake the silky tannins. Flavors of cassis, cherry pie, flint, anisette and violet continue into a finish that lingers with equal parts smooth tannins and bright acidity.",Turkey,Cappadocia,19,90
110304,110304,Vinkara 2013 Winehouse Öküzgözü (Ankara),Vinkara 2013 Winehouse Öküzgözü (Ankara),Vinkara,Okuzgozu,Red,"Aromas of cherry, espresso bean, orange zest and nutmeg prepare the palate for flavors of black cherry, coffee, caramel, white chocolate and violet. Smooth tannins linger through a finish that is marked with a touch of orange peel.",Turkey,Ankara,23,90
110311,110311,Chambers Rosewood Vineyards NV Muscadelle (Rutherglen),Chambers Rosewood Vineyards NV Muscadelle (Rutherglen),Chambers Rosewood Vineyards,Muscadelle,White,"Full-bodied and sweet, this amber-hued fortified is one of the entry points into the Chambers universe. Dried figs and soy sauce mark the nose, while the flavors combine hints of mushrooms, roasted meat and maple syrup. The finish is long, with just a hint of scorched sugar.",Australia,Victoria,16,89
110397,110397,Brick House 2012 Year of the Dragon Gamay Noir (Ribbon Ridge),Brick House 2012 Year of the Dragon Gamay Noir (Ribbon Ridge),Brick House,Gamay Noir,Red,"This is one of Oregon's most unique wines, and one that rises confidently to the level of excellent cru Beaujolais in a ripe year. Bright and spicy with generous flavors of strawberry and blueberry, this sports lip-smacking acidity and a dash of minerality. The sweet young fruit is full, forward and delicious.",US,Oregon,29,90
110400,110400,Cowhorn 2012 Marsanne-Roussanne (Applegate Valley),Cowhorn 2012 Marsanne-Roussanne (Applegate Valley),Cowhorn,Marsanne-Roussanne,White,"This barrel-fermented blend—split equally between the two varieties—displays notes of marzipan, melon, tropical fruit and biscuit. It's medium-plus bodied, with a lingering finish.",US,Oregon,28,90
110413,110413,Suavia 2011 Massifitti Trebbiano (Veronese),Suavia 2011 Massifitti Trebbiano (Veronese),Suavia,Trebbiano,White,"Made entirely from Trebbiano di Soave, this bright wine has a subdued nose that reveals white floral notes, tree fruit and mineral. The creamy, savory palate is much more expressive, delivering tart apples, ripe pear, white spice, mint and mineral alongside crisp acidity.",Italy,Veneto,34,90
110429,110429,Quinta do Pinto 2013 Limited Edition Red (Lisboa),Quinta do Pinto 2013 Limited Edition Red (Lisboa),Quinta do Pinto,Tinta Miúda,Red,"Known as Graciano in Spain, this variety is rare in Portugal. Here in the far west of the country, it has produced a deep-colored, firmly structured wine. Despite the three years' aging, the wine is still very solid, dark and full of tannins and black-plum-skin fruits. It needs to age more, so drink from 2019.",Portugal,Lisboa,28,89
110449,110449,Rieutort 2012 Colombard-Sauvignon Blanc (Côtes de Gascogne),Rieutort 2012 Colombard-Sauvignon Blanc (Côtes de Gascogne),Rieutort,Colombard-Sauvignon Blanc,White,"The typical Côtes de Gascogne blend of Colombard and Sauvignon Blanc, this is crisp, brightly herbaceous, hinting at peach as well as lime juice. It is fresh, clean and deliciously fruity.",France,Southwest France,36,85
110463,110463,Georges Vigouroux 2012 Pigmentum Blanc Ugni Blanc-Colombard (Côtes de Gascogne),Georges Vigouroux 2012 Pigmentum Blanc Ugni Blanc-Colombard (Côtes de Gascogne),Georges Vigouroux,Ugni Blanc-Colombard,White,"Light, herbaceous wine, very fruity, full of greengage and gooseberry flavors. It's tight, fresh and crisp, ready to drink.",France,Southwest France,12,85
110469,110469,Mount Pleasant Winery 2009 Estates Norton (Missouri),Mount Pleasant Winery 2009 Estates Norton (Missouri),Mount Pleasant Winery,Norton,Red,"The nose on this Norton is an admixture of underbrush and dark chocolate notes, coupled with blackberry, rose and vanilla accents. Medium to full in body, it has fine, dusty tannins and balanced acids. The finish comes with a hint of tobacco and a minerally tang.",US,Missouri,31,85
110481,110481,Strauss 2012 Classic Gelber Muskateller (Steiermark),Strauss 2012 Classic Gelber Muskateller (Steiermark),Strauss,Gelber Muskateller,White,"Perfumed and spicy, this wine is very Muscat in character. It's very heady in its aromas, with lychee and tropical fruits, and a delicate, while ripe, profile. The aftertaste continues the theme of exotic fruits and soft acidity. Screwcap.",Austria,Steiermark,20,88
110486,110486,Lackner Tinnacher 2012 Welschriesling (Südsteiermark),Lackner Tinnacher 2012 Welschriesling (Südsteiermark),Lackner Tinnacher,Welschriesling,White,"This is a soft, fruity wine cut with bright green fruits, fresh apple acidity and lemon zest. It's an immediately attractive, clean and fragrant wine, with a pure line of acidity right at the heart of its refreshing nature.",Austria,Südsteiermark,23,88
110507,110507,Le Casalte 2005  Vino Nobile di Montepulciano,Le Casalte 2005  Vino Nobile di Montepulciano,Le Casalte,Prugnolo Gentile,Red,"This saturated wine has that squeaky clean, polished aroma of rubber boots in the foreground of black cherry, currant berry and exotic spice. The wine has smoky tannins and nice spice flavors over an easy, approachable mouthfeel.",Italy,Tuscany,35,87
110519,110519,Triacca 2005 Santavenere  (Vino Nobile di Montepulciano),Triacca 2005 Santavenere  (Vino Nobile di Montepulciano),Triacca,Prugnolo Gentile,Red,"This attractive Vino Nobile offers ripe cherry fruit, loads of spice and lingering tones of clove, vanilla and pipe tobacco. It's thinner but also more acidic in the mouth, which is an appreciated quality for a Sangiovese-based wine.",Italy,Tuscany,18,87
110560,110560,Tenimenti Ca' Bianca 2011  Brachetto d'Acqui,Tenimenti Ca' Bianca 2011  Brachetto d'Acqui,Tenimenti Ca' Bianca,Brachetto,Red,"Fresh and vibrant, this has bright aromas of raspberry and wild strawberry. The aromas are simple and so is the mouthfeel, offering a crisp berry nuance followed by a candy-like sweetness and a creamy, frothy finish.",Italy,Piedmont,16,84
110570,110570,Greek Wine Cellars 2009 Agiorgitiko (Nemea),Greek Wine Cellars 2009 Agiorgitiko (Nemea),Greek Wine Cellars,Agiorgitiko,Red,"Cigarbox, cinnamon and clove aromas are followed by pepper, tea leaf and cherry on the palate of this traditional-style Agiorgitiko. Subtle and a bit spicy, this should pair well with brick-oven pizza with tangy cheese or lamb kebabs.",Greece,Nemea,17,84
110592,110592,Tricky Rabbit 2012 Reserva Pinot Noir-Syrah (Maule Valley),Tricky Rabbit 2012 Reserva Pinot Noir-Syrah (Maule Valley),Tricky Rabbit,Pinot Noir-Syrah,Red,"Floral aromas are light and more suggestive of Pinot Noir than Syrah, with a hint of latex and mulch thrown in. A flat, sticky mouthfeel and a combination of sweet and green flavors finish with rubbery notes of latex and bitterness.",Chile,Maule Valley,12,83
110595,110595,Mas Foraster 2013 Josep Foraster Macabeu Macabeo (Conca de Barberà),Mas Foraster 2013 Josep Foraster Macabeu Macabeo (Conca de Barberà),Mas Foraster,Macabeo,White,"Almondy in color, with bready, drawn aromas of mustard and pithy citrus, this feels flat and chunky. Flavors of almond skins and pithy white fruits finish with a note of orange peel.",Spain,Catalonia,21,83
110597,110597,Grandes Vinos y Viñedos 2013 El Circo Equilibrista Cariñena (Cariñena),Grandes Vinos y Viñedos 2013 El Circo Equilibrista Cariñena (Cariñena),Grandes Vinos y Viñedos,Carineña,Red,"Plum and raspberry aromas are honest and pleasant. This is fruity and plummy on first take, but soon it becomes narrow and acidic, with tart, shrill berry and plum flavors that finish juicy and angular, then bitter.",Spain,Northern Spain,8,83
110612,110612,Millbrook 2014 Proprietor's Special Reserve Tocai Friulano (Hudson River Region),Millbrook 2014 Proprietor's Special Reserve Tocai Friulano (Hudson River Region),Millbrook,Tocai Friulano,White,"Sweet-tart pineapple and apple tones contrast leafy swathes of fresh herbs in this savory Tocai Friulano. Dry and full bodied, it's luscious and silky on the palate but finishes briskly.",US,New York,20,86
110631,110631,Commanderie de la Bargemone 2012 La Bargemone Red (Coteaux d'Aix-en-Provence),Commanderie de la Bargemone 2012 La Bargemone Red (Coteaux d'Aix-en-Provence),Commanderie de la Bargemone,Provence red blend,Red,"This is soft and generously fruity wine. It has spice, ripe red-berry fruits and just enough tannin to give structure. Touches of chocolate and bitter coffee are rounding out well to allow the fruit and ripe texture to speak. Drink from 2017.",France,Provence,19,86
110682,110682,Villa Rubini 2010 Friulano (Colli Orientali del Friuli),Villa Rubini 2010 Friulano (Colli Orientali del Friuli),Villa Rubini,Friulano,White,"This Friulano from northeast Italy offers aromas of caramel, stone fruit and butterscotch, with a thick, slightly oily finish.",Italy,Northeastern Italy,15,84
110700,110700,Coto de Hayas 2010 Garnacha-Syrah (Campo de Borja),Coto de Hayas 2010 Garnacha-Syrah (Campo de Borja),Coto de Hayas,Garnacha-Syrah,Red,"Gritty, toasty and burnt smelling, with stalky aromas of burning hay and rubber. It feels solid, with herbal flavors of tomato and basil that are given heft via additional flavors of grilled beef and leather. This has a medium-long on the finish.",Spain,Northern Spain,8,83
110708,110708,Gabarda 2008 Reserva Old Vine Red (Cariñena),Gabarda 2008 Reserva Old Vine Red (Cariñena),Gabarda,Grenache Blend,Red,"With aromas of milk-chocolate-covered cherries and forced oak, this smells overtly sweet and candied. This feels choppy and juicy, with red fruit flavors and buttery oak in the background. It turns sweeter and more buttery on the finish, but doesn't offer much complexity.",Spain,Northern Spain,15,83
110726,110726,Dominio de la Vega 2010 Bobal (Utiel-Requena),Dominio de la Vega 2010 Bobal (Utiel-Requena),Dominio de la Vega,Bobal,Red,"Cherry and plum aromas lead to a choppy, rubbery-feeling palate. It tastes soupy, herbal and briney.",Spain,Levante,13,80
110763,110763,Syncline 2010 Carignan-Grenache (Columbia Valley (WA)),Syncline 2010 Carignan-Grenache (Columbia Valley (WA)),Syncline,Carignan-Grenache,Red,"Carignan takes the lead here, composing roughly two-thirds of the blend. Young, tart, still primary and chewy on the palate, this subtle, expressive wine displays an underlying minerality backing pie cherry fruit.",US,Washington,25,88
110787,110787,Valderiz 2014 Juegabolos  (Ribera del Duero),Valderiz 2014 Juegabolos  (Ribera del Duero),Valderiz,Tinta del Pais,Red,"Toasty aromas suggest maple, along with a note of sawdust to accompany earthy berry scents. A rich, pure palate is intense but shows balance and comportment. Blackberry, cassis, peppery spice and integrated oak flavors are detailed, with a smooth finish. Drink this full-bodied wonder through 2028.",Spain,Northern Spain,50,96
110802,110802,José Maria da Fonseca 2011 Domingos Touriga Nacional & Syrah Red (Península de Setúbal),José Maria da Fonseca 2011 Domingos Touriga Nacional & Syrah Red (Península de Setúbal),José Maria da Fonseca,Touriga Nacional Blend,Red,"Named after its winemaker, Domingos Soares Franco, this is a powerful, concentrated wine. Still very young, it is full of blackberry fruits that need time to fully integrate into the dry tannins and layered wood notes. It's a dense wine with great potential. Drink from 2016.",Portugal,Península de Setúbal,36,90
110814,110814,Wines & Winemakers 2010 Pegos Claros Grande Escolha Castelão (Palmela),Wines & Winemakers 2010 Pegos Claros Grande Escolha Castelão (Palmela),Wines & Winemakers,Castelão,Red,"With its arm-breaking, heavy bottle, this is a wine obviously meant to impress. Old vines do give concentration, and heavy tannins promise aging. The wine is packed with ripe plums and black currants, but leathery notes and a feathered texture suggests the wine is already evolving.",Portugal,Palmela,30,90
110833,110833,Chehalem 2014 Ridgecrest Vineyards Gamay Noir (Ribbon Ridge),Chehalem 2014 Ridgecrest Vineyards Gamay Noir (Ribbon Ridge),Chehalem,Gamay Noir,Red,"Bursting with fresh, bright scents and flavors of strawberries, raspberries and huckleberries, this juicy, polished and powerful wine is spring in a bottle. Lush and lively acids underscore the fruit and lead into a long, spicy finish.",US,Oregon,24,90
110839,110839,Draga 2012 Miklus Malvasia (Collio),Draga 2012 Miklus Malvasia (Collio),Draga,Malvasia,White,"Aromas of white flower, citrus zest, chopped basil and sage lead the nose on this stunning wine while the vibrant, full-bodied palate shows nectarine zest, mineral, dried apricot and lemon drop. Firm acidity bestows a clean, crisp finish.",Italy,Northeastern Italy,50,90
110849,110849,5OS Project 2012 Single Vineyard Shiraz-Viognier (McLaren Vale),5OS Project 2012 Single Vineyard Shiraz-Viognier (McLaren Vale),5OS Project,Shiraz-Viognier,Red,"Made in an accessible, fruit-forward style, this medium-bodied wine features ample blackberry fruit and just hints of vanilla and cedar. Perhaps because of the Viognier component, it's already supple on the palate, yet the finish displays tart acids and some dusty astringency. Drink now–2020.",Australia,South Australia,25,90
110891,110891,Domaine du Moulin 2013 Florentin Braucol (Gaillac),Domaine du Moulin 2013 Florentin Braucol (Gaillac),Domaine du Moulin,Braucol,Red,"Rich and smoothly textured, this is rich with red berry fruits balanced by intense acidity. The structure is ripe, full of concentration from low-yield vines and ready for aging. Drink from 2017. This is from the Fer Servadou grape, similar to Cabernet Sauvignon, and known in Gaillac as Braucol. The estate, which spans both sides of the Tarn river, has been in the Hirissou family for six generations.",France,Southwest France,40,90
110933,110933,Pietradolce 2015 Archineri Bianco  (Etna),Pietradolce 2015 Archineri Bianco  (Etna),Pietradolce,Carricante,White,"Made from old vines ranging between 100 and 120-years-old, this vibrant white opens with aromas suggesting citrus, orchard fruit, linden blossom, acacia and a whiff of beeswax. On the savory, radiant palate, a mineral vein underscores green apple, grapefruit, and aromatic herb. Give this a few more years to fully develop. Drink 2018 through 2025.",Italy,Sicily & Sardinia,35,92
110943,110943,Kechris 2015 Tear of the Pine Assyrtico (Retsina),Kechris 2015 Tear of the Pine Assyrtico (Retsina),Kechris,Assyrtico,White,"This 100% Assyrtiko Retsina shows the versatility of this variety and will challenge the modern wine drinker's perception of the traditional pour. Intense aromas of lime and lemon mingle with a spin of crushed thyme, honey and vanilla. On the palate, vibrant fruit and a flinty minerality prevail. The wine finishes long and clean. Pair with fatty fish like lobster or fried sardines.",Greece,Retsina,20,92
110997,110997,Pine Ridge 2011 Chenin Blanc-Viognier (California),Pine Ridge 2011 Chenin Blanc-Viognier (California),Pine Ridge,Chenin Blanc-Viognier,White,"This white blend has semisweet flavors of orange, pear, tropical fruit and honeysuckle. The spicy finish is crisp and clean, making it an easy match with Mexican, Thai and Indian fare.",US,California,14,86
111022,111022,Martin Ranch 2011 J.D. Hurley Carignane (Santa Clara Valley),Martin Ranch 2011 J.D. Hurley Carignane (Santa Clara Valley),Martin Ranch,Carignane,Red,"In this intriguing wine, the grape—one of California's pre-Prohibition favorites—shows anise- and pepper-crusted roast beef aromas against a red-fruit canvas. It's smooth and airy on the palate, but with lots of Bing cherry flavor and bright acidity.",US,California,24,88
111029,111029,Aver Family Vineyards 2011 Family Album Carignane (Santa Clara Valley),Aver Family Vineyards 2011 Family Album Carignane (Santa Clara Valley),Aver Family Vineyards,Carignane,Red,"Raspberry and tar aromas mix with wild berry pie and buttered crust aromas. Strawberry, leather and some barnyard flavorings arise on the palate, which shows tannic grip.",US,California,29,88
111044,111044,Ceretto 2006 Blange Arneis (Langhe),Ceretto 2006 Blange Arneis (Langhe),Ceretto,Arneis,White,"The Ceretto was surprisingly evolved for a 2006. A big, ripe, rich wine with flavors of pear, lychee and a hint of lime peel. Structurally, this is a wine that probably won't hold up well, but at the moment it is a pleasant wine. Just make sure you drink it over the next few months.",Italy,Piedmont,17,86
111056,111056,Vinkara 2011 Reserve Kalecik Karasi (Ankara),Vinkara 2011 Reserve Kalecik Karasi (Ankara),Vinkara,Kalecik Karasi,Red,"Dark cherry in color, this wine features a bouquet of raspberry and chocolate with a hint of smoked meat. It is very light on the palate, and flavors of cherry, strawberry and thyme play on the tongue into the bright, clean finish.",Turkey,Ankara,25,88
111079,111079,Bock 2013 Kékfrankos (Villány),Bock 2013 Kékfrankos (Villány),Bock,Kekfrankos,Red,"This cherry-colored wine offers the nose baking spice, tart cherry and black peppercorns. It has a medium body with nice minerality and flavors of blueberry jam, tart cherries and dried violets.",Hungary,Villány,23,88
111095,111095,Stadlmann 2014 Anninger Rotgipfler (Thermenregion),Stadlmann 2014 Anninger Rotgipfler (Thermenregion),Stadlmann,Rotgipfler,White,"The intriguing nose suggests the ripe flesh of yellow plums drizzled with lemon juice, this is subtly aromatic and immensely appetizing. Riper fruit is revealed on the slight and light palate, once again tempered by lemony freshness. If you like exquisite lightness, this is your ideal, barely-there summer wine. If you have yet to discover Rotgipfler, you are in for a rewarding surprise.",Austria,Thermenregion,19,90
111113,111113,Rijckaert 2010 Les Sarres Savagnin (Côtes du Jura),Rijckaert 2010 Les Sarres Savagnin (Côtes du Jura),Rijckaert,Savagnin,White,Strange aromas emanate from this wine. They point to meat and gravy rather than fruit. So it's a shock to find that the wine is all fruitiness and crisp apple and pear acidity. It's a very textured and needs to age. Drink from 2016.,France,France Other,36,87
111116,111116,Stark 2012 Trimble Vineyard Carignane (Mendocino County),Stark 2012 Trimble Vineyard Carignane (Mendocino County),Stark,Carignane,Red,"Carignane likes Mendocino. This wine is dusty and soft in plums and smoky blackberry fruit. Having been aged in neutral French oak, the wine is soft and round, offering a taste of tobacco on the finish.",US,California,34,87
111198,111198,Thörle 2012 Saulheimer Muschelkalk Trocken Weissburgunder (Rheinhessen),Thörle 2012 Saulheimer Muschelkalk Trocken Weissburgunder (Rheinhessen),Thörle,Weissburgunder,White,"Honey, mango and guava aromas lend a ripe, tropical flair to this big, powerful Weissburgunder. It's dry on the palate, but it's rich, weighty feel and juicy peach and vanilla cream flavors extend to the finish.",Germany,Rheinhessen,36,87
111202,111202,Zlatan Otok 2010 Plavac Mali (North Dalmatia),Zlatan Otok 2010 Plavac Mali (North Dalmatia),Zlatan Otok,Plavac Mali,Red,"Bright cherry, red plum and vanilla notes are well pronounced in the nose and on the palate. There's a touch of cherry-vanilla soda as well. The finish pops with a bright persistence of fruit.",Croatia,North Dalmatia,20,87
